date,open,close,high,low,volume,code,股价
2018-09-03,9.56,10.01,10.05,9.54,120711.0,600305,10.0
2018-09-04,9.95,9.99,10.06,9.75,120637.0,600305,10.0
2018-09-05,9.95,9.8,9.99,9.75,84967.0,600305,9.5
2018-09-06,9.81,9.88,9.91,9.62,86904.0,600305,9.5
2018-09-07,9.91,10.09,10.24,9.86,191407.0,600305,10.0
2018-09-10,10.05,10.0,10.35,9.95,198361.0,600305,10.0
2018-09-11,9.85,10.15,10.27,9.85,153690.0,600305,10.0
2018-09-12,10.2,9.83,10.25,9.77,188326.0,600305,10.0
2018-09-13,10.0,9.71,10.02,9.54,199885.0,600305,10.0
2018-09-14,9.7,9.49,9.77,9.37,134661.0,600305,9.5
2018-09-17,9.49,9.41,9.63,9.35,92004.0,600305,9.5
2018-09-18,9.35,9.69,9.7,9.33,107006.0,600305,9.5
2018-09-19,9.63,9.9,10.02,9.63,188504.0,600305,10.0
2018-09-20,9.85,9.8,9.96,9.78,102262.0,600305,9.5
2018-09-21,9.88,10.4,10.4,9.86,278531.0,600305,10.0
2018-09-25,10.34,10.69,10.74,10.3,281145.0,600305,10.5
2018-09-26,10.6,11.43,11.76,10.6,855100.0,600305,11.5
2018-09-27,11.55,11.45,11.69,11.35,463416.0,600305,11.5
2018-09-28,11.59,11.49,11.64,11.24,333448.0,600305,11.5
2018-10-08,11.3,11.26,11.57,11.12,282441.0,600305,11.5
2018-10-09,11.37,11.26,11.42,10.96,269886.0,600305,11.0
2018-10-10,11.21,11.11,11.21,10.91,254638.0,600305,11.0
2018-10-11,10.58,10.33,10.77,10.06,407800.0,600305,10.5
2018-10-12,10.27,10.71,10.83,10.21,313383.0,600305,10.5
2018-10-15,10.71,9.88,10.73,9.79,443107.0,600305,10.5
2018-10-16,9.78,10.08,10.34,9.78,325295.0,600305,10.0
2018-10-17,10.34,9.7,10.36,9.36,375823.0,600305,10.0
2018-10-18,9.63,9.39,9.63,9.37,173975.0,600305,9.5
2018-10-19,9.27,9.92,9.97,9.27,259793.0,600305,9.5
2018-10-22,10.15,10.45,10.64,10.0,389614.0,600305,10.5
2018-10-23,10.46,10.16,10.46,9.99,320668.0,600305,10.0
2018-10-24,10.12,9.93,10.15,9.82,204753.0,600305,10.0
2018-10-25,9.6,9.84,9.87,9.53,161032.0,600305,9.5
2018-10-26,9.92,9.46,9.96,9.36,214809.0,600305,9.5
2018-10-29,9.28,8.88,9.29,8.64,340830.0,600305,9.0
2018-10-30,8.81,9.12,9.29,8.81,225558.0,600305,9.0
2018-10-31,9.14,9.37,9.45,9.12,187053.0,600305,9.0
