,date,open,close,high,low,volume,code,股价
207,2019-04-09,13.54,13.71,13.82,13.5,114843.0,600305,13.5
208,2019-04-10,13.66,14.38,14.57,13.56,248478.0,600305,14.5
209,2019-04-11,14.26,13.4,14.34,13.35,241751.0,600305,14.0
211,2019-04-15,13.55,13.17,13.59,13.1,123628.0,600305,13.5
215,2019-04-19,13.0,13.2,13.25,13.0,111286.0,600305,13.0
219,2019-04-25,13.65,13.0,13.7,13.0,133534.0,600305,13.5
220,2019-04-26,12.81,12.95,13.25,12.8,114018.0,600305,13.0
221,2019-04-29,13.11,13.22,13.54,12.88,229244.0,600305,13.5
224,2019-05-07,12.5,12.99,13.12,12.45,186917.0,600305,13.0
225,2019-05-08,12.7,13.26,13.53,12.65,196886.0,600305,13.5
226,2019-05-09,13.08,12.81,13.26,12.75,116950.0,600305,13.0
229,2019-05-14,13.72,13.68,13.91,13.58,135335.0,600305,13.5
231,2019-05-16,14.11,14.26,14.32,14.01,161801.0,600305,14.0
232,2019-05-17,14.2,14.11,14.52,13.97,192316.0,600305,14.5
236,2019-05-23,14.18,13.67,14.18,13.56,141445.0,600305,14.0
238,2019-05-27,13.52,13.89,13.91,13.29,120478.0,600305,13.5
241,2019-05-30,13.78,14.19,14.22,13.68,167487.0,600305,14.0
242,2019-05-31,14.22,14.59,14.75,14.03,259005.0,600305,14.5
